line_1,line_2,line_3
fran,good my lord,he will be present
vict,and yet hypolito we may be wrong,we may be over-hasty in condemning
hyp,nay he is no coward,a villain if thou wilt but not a coward
and therefore be not over-confident,he'll task thy skill anon,look here he comes
vict,no,none
vict,you are disarmed,i will not kill you
put up your swords for to speak frankly to you,your cause of quarrel is too slight a thing,to move you to extremes
let me know all,all,all
lara,if further proof,is needful i have here a ring she gave me
bart,no matter,show me the house
lara,her pride is humbled and this very night,i mean to visit her
don l,yes try don dinero,a mighty wooer is your don dinero
good night,good night beloved,while i count the weary hours
ah,thou moon that shinest,argent-clear above
puss,puss,puss
bart,follow that,follow that
come with me,puss,puss
all silent in the street,and in the garden,hark
prec,i must go hence,i pray you do not harm me
shame,shame,to treat a feeble woman thus
i cannot stay,hark,how they mock at me
they hiss at me like serpents,save me,save me
hyp,thinking to walk in those arcadian pastures,thou hast run thy noble head against the wall
there rises from below a hand that grasp it,and waves it in the air and wailing voices,are heard along the shore
padre cura,good day,and pray you hear this edict read
pancho,and if in seventy days you are not gone,dead or alive i make you all my slaves
padre c,a righteous law,a very righteous law
they never marry never go to mass,never baptize their children nor keep lent,nor see the inside of a church nor nor
hyp,as we approached i said to my companion,that is the padre cura mark my words
hyp,your grace is right,you are the better scholar
padre c,from the marquis,not from the poet
your name is ever green in alcala,and our professor when we are unruly,will shake his hoary head and say alas
i've turned my back on what was then before me,and the bright faces of my young companions,are wrinkled like my own or are no more
padre c,fool that i am,he was before your time
padre c,well well,but i forget you must be hungry
padre c,this gentleman is hungry,see thou to it
pray you,senor excuse me,[exit
hyp,yes yes i know they did,give me your hand
hyp,what news is this that makes thy cheek turn pale,and thy hand tremble
vict,dear hypolito,how have i wronged that meek confiding heart
hyp,and have they with them a pale beautiful girl,called preciosa
hyp,yes moved with hunger,he is half famished with this long day's journey
padre c,then pray you come this way,the supper waits
prec,speak of that no more,i cannot
not mine,i never gave my heart to thee,nor promised thee my hand
that voice,that voice from heaven,o speak again
prec,t is he,t is he
prec,not in the dark,come nearer to the fire
vict,there is the,cross
prec,there's a fair lady at the court who loves you,and for yourself alone
shame,shame,o you have wronged the maid who loved you
vict,i never loved a maid,for she i loved was then a maid no more
vict,a little bird in the air,whispered the secret
vict,how like an angel's speaks the tongue of woman,when pleading in another's cause her own
prec,no never from my hand,shall that be taken
prec,no never,never
vict,be still my swelling heart,one moment still
vict,forgive me sweet,for what i made thee suffer
think'st thou this heart could feel a moment's joy,thou being absent,o believe it not
vict,i have heard all,and yet speak on speak on
let me but hear thy voice and i am happy,for every tone like some sweet incantation,calls up the buried past to plead for me
prec,senor hypolito,i kiss your hand
chispa,ay robbed and murdered and good evening to you,my worthy masters
prec,i have still,a hand to give
vict,no let it be a day of general joy,fortune comes well to all that comes not late
(song dies away,enter preciosa on horseback attended by,victorian hypolito don carlos and chispa on foot and armed
vict,this is the highest point,here let us rest
see preciosa see how all about us,kneeling like hooded friars the misty mountains,receive the benediction of the sun
bart,they passed this way,i hear their horses' hoofs
yonder i see them,come sweet caramillo,this serenade shall be the gypsy's last
ha,ha,well whistled my sweet caramillo
well whistled,i have missed her,o my god
in the market-place of bruges stands the belfry old and brown,thrice consumed and thrice rebuilded still it watches o'er the,town
at my feet the city slumbered,from its chimneys here and there,wreaths of snow-white smoke ascending vanished ghost-like into air
then the sound of drums aroused me,the awakened city's roar,chased the phantoms i had summoned back into their graves once more
hours had passed away like minutes and before i was aware,lo,the shadow of the belfry crossed the sun-illumined square
and every nation that should lift again,its hand against a brother on its forehead,would wear forevermore the curse of cain
peace,and no longer from its brazen portals,the blast of war's great organ shakes the skies
he counts it as no sin,that he sees therein,only his own thrift and gain
once ah once within these walls,one whom memory oft recalls,the father of his country dwelt
and yonder meadows broad and damp,the fires of the besieging camp,encircled with a burning belt
beneath us like an oriole's pendent nest,from which the laughing birds have taken wing,by thee abandoned hangs thy vacant swing
like the astrologers of eld,in that bright vision i beheld,greater and deeper mysteries
sirius was rising in the east,and slow ascending one by one,the kindling constellations shone
begirt with many a blazing star,stood the great giant algebar,orion hunter of the beast
thus moving on with silent pace,and triumph in her sweet pale face,she reached the station of orion
and suddenly from his outstretched arm,down fell the red skin of the lion,into the river at his feet
wrapt in thy scarlet blanket i see thee stalk through the city's,narrow and populous streets as once by the margin of rivers,stalked those birds unknown that have left us only their footprints
is it the cry of the foxes and crows or the mighty behemoth,who unharmed on his tusks once caught the bolts of the thunder,and now lurks in his lair to destroy the race of the red man
ha,how the breath of these saxons and celts like the blast of the east-wind,drifts evermore to the west the scanty smokes of thy wigwams
thou hast been their friend,they alas,have left thee friendless
from the pitcher placed between us,how the waters laugh and glisten,in the head of old silenus
even as a miser counts his gold,those hours the ancient timepiece told,forever never
all are scattered now and fled,some are married some are dead,and when i ask with throbs of pain
as in the days long since gone by,the ancient timepiece makes reply,forever never
the horologe of eternity,sayeth this incessantly,forever never
scattered like dust and leaves when the mighty blasts of october,seize them and whirl them aloft and sprinkle them far o'er the ocean,naught but tradition remains of the beautiful village of grand-pre
dikes that the hands of the farmers had raised with labor incessant,shut out the turbulent tides but at stated seasons the flood-gates,opened and welcomed the sea to wander at will o'er the meadows
neither locks had they to their doors nor bars to their windows,but their dwellings were open as day and the hearts of their owners,there the richest was poor and the poorest lived in abundance
stalworth and stately in form was the man of seventy winters,hearty and hale was he an oak that is covered with snow-flakes,white as the snow were his locks and his cheeks as brown as the oak-leaves
but a celestial brightness a more ethereal beauty,shone on her face and encircled her form when after confession,homeward serenely she walked with god's benediction upon her
firmly builded with rafters of oak the house of the farmer,stood on the side of a hill commanding the sea and a shady,sycamore grew by the door with a woodbine wreathing around it
under the sycamore-tree were hives overhung by a penthouse,such as the traveller sees in regions remote by the roadside,built o'er a box for the poor or the blessed image of mary
there too the dove-cot stood with its meek and innocent inmates,murmuring ever of love while above in the variant breezes,numberless noisy weathercocks rattled and sang of mutation
many a youth as he knelt in the church and opened his missal,fixed his eyes upon her as the saint of his deepest devotion,happy was he who might touch her hand or the hem of her garment
bees with prophetic instinct of want had hoarded their honey,till the hives overflowed and the indian bunters asserted,cold would the winter be for thick was the fur of the foxes
such was the advent of autumn,then followed that beautiful season,called by the pious acadian peasants the summer of all-saints
peace seemed to reign upon earth and the restless heart of the ocean,was for a moment consoled,all sounds were in harmony blended
foremost bearing the bell evangeline's beautiful heifer,proud of her snow-white hide and the ribbon that waved from her collar,quietly paced and slow as if conscious of human affection
patiently stood the cows meanwhile and yielded their udders,unto the milkmaid's hand whilst loud and in regular cadence,into the sounding pails the foaming streamlets descended
faces clumsily carved in oak on the back of his arm-chair,laughed in the flickering light and the pewter plates on the dresser,caught and reflected the flame as shields of armies the sunshine
fragments of song the old man sang and carols of christmas,such as at home in the olden time his fathers before him,sang in their norman orchards and bright burgundian vineyards
silent awhile were its treadles at rest was its diligent shuttle,while the monotonous drone of the wheel like the drone of a bagpipe,followed the old man's songs and united the fragments together
as in a church when the chant of the choir at intervals ceases,footfalls are heard in the aisles or words of the priest at the altar,so in each pause of the song with measured motion the clock clicked
then with a smile of content thus answered basil the blacksmith,taking with easy air the accustomed seat by the fireside,benedict bellefontaine thou hast ever thy jest and thy ballad
not so thinketh the folk in the village said warmly the blacksmith,shaking his head as in doubt then heaving a sigh he continued,louisburg is not forgotten nor beau sejour nor port royal
as apart by the window she stood with her hand in her lover's,blushing evangeline heard the words that her father had spoken,and as they died on his lips the worthy notary entered
then with modest demeanor made answer the notary public,gossip enough have i heard in sooth yet am never the wiser,and what their errand may be i know not better than others
god's name,shouted the hasty and somewhat irascible blacksmith,must we in all things look for the how and the why and the wherefore
wiping the foam from his lip he solemnly bowed and departed,while in silence the others sat and mused by the fireside,till evangeline brought the draught-board out of its corner
simple that chamber was with its curtains of white and its clothes-press,ample and high on whose spacious shelves were carefully folded,linen and woollen stuffs by the hand of evangeline woven
soon she extinguished her lamp for the mellow and radiant moonlight,streamed through the windows and lighted the room till the heart of the maiden,swelled and obeyed its power like the tremulous tides of the ocean
ah,she was fair exceeding fair to behold as she stood with,naked snow-white feet on the gleaming floor of her chamber
yet were her thoughts of him and at times a feeling of sadness,passed o'er her soul as the sailing shade of clouds in the moonlight,flitted across the floor and darkened the room for a moment
and as she gazed from the window she saw serenely the moon pass,forth from the folds of a cloud and one star follow her footsteps,as out of abraham's tent young ishmael wandered with hagar
every house was an inn where all were welcomed and feasted,for with this simple people who lived like brothers together,all things were held in common and what one had was another's
shadow and light from the leaves alternately played on his snow-white,hair as it waved in the wind and the jolly face of the fiddler,glowed like a living coal when the ashes are blown from the embers
gayly the old man sang to the vibrant sound of his fiddle,tous les bourgeois de chartres and le carillon de dunkerque,and anon with his wooden shoes beat time to the music
merrily merrily whirled the wheels of the dizzying dances,under the orchard-trees and down the path to the meadows,old folk and young together and children mingled among them
silent a moment they stood in speechless wonder and then rose,louder and ever louder a wail of sorrow and anger,and by one impulse moved they madly rushed to the door-way
flushed was his face and distorted with passion and wildly he shouted,down with the tyrants of england,we never have sworn them allegiance
then the old men as they marched and the women that stood by the wayside,joined in the sacred psalm and the birds in the sunshine above them,mingled their notes therewith like voices of spirits departed
busily plied the freighted boats and in the confusion,wives were torn from their husbands and mothers too late saw their children,left on the land extending their arms with wildest entreaties
back to its nethermost caves retreated the bellowing ocean,dragging adown the beach the rattling pebbles and leaving,inland and far up the shore the stranded boats of the sailors
onward from fire to fire as from hearth to hearth in his parish,wandered the faithful priest consoling and blessing and cheering,like unto shipwrecked paul on melita's desolate sea-shore
vainly evangeline strove with words and caresses to cheer him,vainly offered him food yet he moved not he looked not he spake not,but with a vacant stare ever gazed at the flickering fire-light
more he fain would have said but his heart was full and his accents,faltered and paused on his lips as the feet of a child on a threshold,hushed by the scene he beholds and the awful presence of sorrow
silently therefore he laid his hand on the head of the maiden,raising his tearful eyes to the silent stars that above them,moved on their way unperturbed by the wrongs and sorrows of mortals
then as the wind seized the gleeds and the burning thatch and uplifting,whirled them aloft through the air at once from a hundred house-tops,started the sheeted smoke with flashes of flame intermingled
loud on a sudden the cocks began to crow in the farm-yards,thinking the day had dawned and anon the lowing of cattle,came on the evening breeze by the barking of dogs interrupted
still the blaze of the burning village illumined the landscape,reddened the sky overhead and gleamed on the faces around her,and like the day of doom it seemed to her wavering senses
then recommenced once more the stir and noise of embarking,and with the ebb of the tide the ships sailed out of the harbor,leaving behind them the dead on the shore and the village in ruins
many a weary year had passed since the burning of grand-pre,when on the falling tide the freighted vessels departed,bearing a nation with all its household gods into exile
far asunder on separate coasts the acadians landed,scattered were they like flakes of snow when the wind from the northeast,strikes aslant through the fogs that darken the banks of newfoundland
gabriel lajeunesse,they said yes,we have seen him
gabriel lajeunesse,said others o yes,we have seen him
are there not other youths as fair as gabriel,others,who have hearts as tender and true and spirits as loyal
thereupon the priest her friend and father-confessor,said with a smile o daughter,thy god thus speaketh within thee
onward o'er sunken sands through a wilderness sombre with forests,day after day they glided adown the turbulent river,night after night by their blazing fires encamped on its borders
level the landscape grew and along the shores of the river,shaded by china-trees in the midst of luxuriant gardens,stood the houses of planters with negro-cabins and dove-cots
they were approaching the region where reigns perpetual summer,where through the golden coast and groves of orange and citron,sweeps with majestic curve the river away to the eastward
they too swerved from their course and entering the bayou of plaquemine,soon were lost in a maze of sluggish and devious waters,which like a network of steel extended in every direction
over their heads the towering and tenebrous boughs of the cypress,met in a dusky arch and trailing mosses in mid-air,waved like banners that hang on the walls of ancient cathedrals
deathlike the silence seemed and unbroken save by the herons,home to their roasts in the cedar-trees returning at sunset,or by the owl as he greeted the moon with demoniac laughter
lovely the moonlight was as it glanced and gleamed on the water,gleamed on the columns of cypress and cedar sustaining the arches,down through whose broken vaults it fell as through chinks in a ruin
dreamlike and indistinct and strange were all things around them,and o'er their spirits there came a feeling of wonder and sadness,strange forebodings of ill unseen and that cannot be compassed
then in his place at the prow of the boat rose one of the oarsmen,and as a signal sound if others like them peradventure,sailed on those gloomy and midnight streams blew a blast on his bugle
water-lilies in myriads rocked on the slight undulations,made by the passing oars and resplendent in beauty the lotus,lifted her golden crown above the heads of the boatmen
under the boughs of wachita willows that grew by the margin,safely their boat was moored and scattered about on the greensward,tired with their midnight toil the weary travellers slumbered
nearer ever nearer among the numberless islands,darted a light swift boat that sped away o'er the water,urged on its course by the sinewy arms of hunters and trappers
after the sound of their oars on the tholes had died in the distance,as from a magic trance the sleepers awoke and the maiden,said with a sigh to the friendly priest o father felician
beautiful is the land with its prairies and forests of fruit-trees,under the feet a garden of flowers and the bluest of heavens,bending above and resting its dome on the walls of the forest
large and low was the roof and on slender columns supported,rose-wreathed vine-encircled a broad and spacious veranda,haunt of the humming-bird and the bee extended around it
at each end of the house amid the flowers of the garden,stationed the dove-cots were as love's perpetual symbol,scenes of endless wooing and endless contentions of rivals
in the rear of the house from the garden gate ran a pathway,through the great groves of oak to the skirts of the limitless prairie,into whose sea of flowers the sun was slowly descending
full in his track of light like ships with shadowy canvas,hanging loose from their spars in a motionless calm in the tropics,stood a cluster of trees with tangled cordage of grapevines
thus they ascended the steps and crossing the breezy veranda,entered the hall of the house where already the supper of basil,waited his late return and they rested and feasted together
all was silent without and illuming the landscape with silver,fair rose the dewy moon and the myriad stars but within doors,brighter than these shone the faces of friends in the glimmering lamplight
here too numberless herds run wild and unclaimed in the prairies,here too lands may be had for the asking and forests of timber,with a few blows of the axe are hewn and framed into houses
after your houses are built and your fields are yellow with harvests,no king george of england shall drive you away from your homesteads,burning your dwellings and barns and stealing your farms and your cattle
nearer and round about her the manifold flowers of the garden,poured out their souls in odors that were their prayers and confessions,unto the night as it went its way like a silent carthusian
and the soul of the maiden between the stars and the fire-flies,wandered alone and she cried o gabriel,o my beloved
ah,how often beneath this oak returning from labor,thou hast lain down to rest and to dream of me in thy slumbers
loud and sudden and near the note of a whippoorwill sounded,like a flute in the woods and anon through the neighboring thickets,farther and farther away it floated and dropped into silence
patience,whispered the oaks from oracular caverns of darkness,and from the moonlit meadow a sigh responded to-morrow
bright rose the sun next day and all the flowers of the garden,bathed his shining feet with their tears and anointed his tresses,with the delicious balm that they bore in their vases of crystal
farewell,answered the maiden and smiling with basil descended,down to the river's brink where the boatmen already were waiting
thus beginning their journey with morning and sunshine and gladness,swiftly they followed the flight of him who was speeding before them,blown by the blast of fate like a dead leaf over the desert
down from their jagged deep ravines where the gorge like a gateway,opens a passage rude to the wheels of the emigrant's wagon,westward the oregon flows and the walleway and owyhee
spreading between these streams are the wondrous beautiful prairies,billowy bays of grass ever rolling in shadow and sunshine,bright with luxuriant clusters of roses and purple amorphas
sometimes they saw or thought they saw the smoke of his camp-fire,rise in the morning air from the distant plain but at nightfall,when they had reached the place they found only embers and ashes
and though their hearts were sad at times and their bodies were weary,hope still guided them on as the magic fata morgana,showed them her lakes of light that retreated and vanished before them
once as they sat by their evening fire there silently entered,into the little camp an indian woman whose features,wore deep traces of sorrow and patience as great as her sorrow
she was a shawnee woman returning home to her people,from the far-off hunting-grounds of the cruel camanches,where her canadian husband a coureur-des-bois had been murdered
touched were their hearts at her story and warmest and friendliest welcome,gave they with words of cheer and she sat and feasted among them,on the buffalo-meat and the venison cooked on the embers
moved to the depths of her soul by pity and woman's compassion,yet in her sorrow pleased that one who had suffered was near her,she in turn related her love and all its disasters
silent with wonder and strange surprise evangeline listened,to the soft flow of her magical words till the region around her,seemed like enchanted ground and her swarthy guest the enchantress
slowly over the tops of the ozark mountains the moon rose,lighting the little tent and with a mysterious splendor,touching the sombre leaves and embracing and filling the woodland
filled with the thoughts of love was evangeline's heart but a secret,subtile sense crept in of pain and indefinite terror,as the cold poisonous snake creeps into the nest of the swallow
early upon the morrow the march was resumed and the shawnee,said as they journeyed along on the western slope of these mountains,dwells in his little village the black robe chief of the mission
soft was the voice of the priest and he spake with an accent of kindness,but on evangeline's heart fell his words as in winter the snow-flakes,fall into some lone nest from which the birds have departed
then in the golden weather the maize was husked and the maidens,blushed at each blood-red ear for that betokened a lover,but at the crooked laughed and called it a thief in the corn-field
so came the autumn and passed and the winter yet gabriel came not,blossomed the opening spring and the notes of the robin and bluebird,sounded sweet upon wold and in wood yet gabriel came not
when over weary ways by long and perilous marches,she had attained at length the depths of the michigan forests,found she the hunter's lodge deserted and fallen to ruin
then there appeared and spread faint streaks of gray o'er her forehead,dawn of another life that broke o'er her earthy horizon,as in the eastern sky the first faint streaks of the morning
in that delightful land which is washed by the delaware's waters,guarding in sylvan shades the name of penn the apostle,stands on the banks of its beautiful stream the city he founded
there all the air is balm and the peach is the emblem of beauty,and the streets still re-echo the names of the trees of the forest,as if they fain would appease the dryads whose haunts they molested
so when the fruitless search the disappointed endeavor,ended to recommence no more upon earth uncomplaining,thither as leaves to the light were turned her thoughts and her footsteps
night after night when the world was asleep as the watchman repeated,loud through the gusty streets that all was well in the city,high at some lonely window he saw the light of her taper
day after day in the gray of the dawn as slow through the suburbs,plodded the german farmer with flowers and fruits for the market,met he that meek pale face returning home from its watchings
then it came to pass that a pestilence fell on the city,presaged by wondrous signs and mostly by flocks of wild pigeons,darkening the sun in their flight with naught in their craws but an acorn
hot and red on his lips still burned the flush of the fever,as if life like the hebrew with blood had besprinkled its portals,that the angel of death might see the sign and pass over
motionless senseless dying he lay and his spirit exhausted,seemed to be sinking down through infinite depths in the darkness,darkness of slumber and death forever sinking and sinking
all was ended now the hope and the fear and the sorrow,all the aching of heart the restless unsatisfied longing,all the dull deep pain and constant anguish of patience
only along the shore of the mournful and misty atlantic,linger a few acadian peasants whose fathers from exile,wandered back to their native land to die in its bosom
i hear your voices softened by the distance,and pause and turn to listen as each sends,his words of friendship comfort and assistance
thanks for each kindly word each silent token,that teaches me when seeming most alone,friends are around us though no word be spoken
your gentle voices will flow on forever,when life grows bare and tarnished with decay,as through a leafless landscape flows a river
stanch and strong a goodly vessel,that shall laugh at all disaster,and with wave and whirlwind wrestle
that silent architect the sun,had hewn and laid them every one,ere the work of man was yet begun
beside the master when he spoke,a youth against an anchor leaning,listened to catch his slightest meaning
only the long waves as they broke,in ripples on the pebbly beach,interrupted the old man's speech
the sun shone on her golden hair,and her cheek was glowing fresh and fair,with the breath of morn and the soft sea air
and when the hot long day was o'er,the young man at the master's door,sat with the maiden calm and still
therefore he spake and thus said he,like unto ships far off at sea,outward or homeward bound are we
ah,what pleasant visions haunt me,as i gaze upon the sea
and with your floating bridge the ocean span,be mine to guard this light from all eclipse,be yours to bring man nearer unto man
they were indeed too much akin,the drift-wood fire without that burned,the thoughts that burned and glowed within
now in this crystal tower,imprisoned by some curious hand at last,it counts the passing hour
but not for this their revels,the jovial monks forbore,for they cried fill high the goblet
take this lesson to thy heart,that is best which lieth nearest,shape from that thy work of art
i heard a voice that cried,balder the beautiful,is dead is dead
and through the misty air,passed like the mournful cry,of sunward sailing cranes
i saw the pallid corpse,of the dead sun,borne through the northern sky
blasts from niffelheim,lifted the sheeted mists,around him as he passed
and the voice forever cried,balder the beautiful,is dead is dead
and died away,through the dreary night,in accents of despair
balder the beautiful,god of the summer sun,fairest of all the gods
light from his forehead beamed,runes were upon his tongue,as on the warrior's sword
they laid him in his ship,with horse and harness,as on a funeral pyre
odin placed,a ring upon his finger,and whispered in his ear
but out of the sea of time,rises a new land of song,fairer than the old
build it again,o ye bards,fairer than before
ye fathers of the new race,feed upon morning dew,sing the new song of love
sing no more,o ye bards of the north,of vikings and of jarls
of the days of eld,preserve the freedom only,not the deeds of blood
leaving us heirs to amplest heritages,of all the best thoughts of the greatest sages,and giving tongues unto the silent dead
take them o death,and bear away,whatever thou canst call thine own
our little life is but a gust,that bends the branches of thy tree,and trails its blossoms in the dust
like the beloved john,to lay his head upon the saviour's breast,and thus to journey on
tell us of this nawadaha,i should answer your inquiries,straightway in such words as follow
gitche manito the mighty,the great spirit the creator,smiled upon his helpless children
thus was slain the mishe-mokwa,he the great bear of the mountains,he the terror of the nations
no more work and no more weeping,wahonowin,wahonowin
lulled him into slumber singing,ewa-yea,my little owlet
saw the rainbow in the heaven,in the eastern sky the rainbow,whispered what is that nokomis
sang the robin the opechee,sang the bluebird the owaissa,do not shoot us hiawatha
all the village came and feasted,all the guests praised hiawatha,called him strong-heart soan-ge-taha
welcome,said he hiawatha,to the kingdom of the west-wind
ah kaween,said mudjekeewis,no indeed i will not touch it
hold,at length cried mudjekeewis,hold my son my hiawatha
i have put you to this trial,but to know and prove your courage,now receive the prize of valor
then he smiled and said: to-morrow,is the last day of your conflict,is the last day of your fasting
lazy kwasind,said his mother,in my work you never help me
in the coldest days of winter,i must break the ice for fishing,with my nets you never help me
at the door my nets are hanging,dripping freezing with the water,go and wring them yenadizze
of your strong and pliant branches,my canoe to make more steady,make more strong and firm beneath me
i will make a necklace of them,make a girdle for my beauty,and two stars to deck her bosom
take my bait cried hiawatha,down into the depths beneath him,take my bait o sturgeon nahma
you are ugudwash the sun-fish,you are not the fish i wanted,you are not the king of fishes
then began the greatest battle,that the sun had ever looked on,that the war-birds ever witnessed
still dissuading said nokomis,bring not to my lodge a stranger,from the land of the dacotahs
thus it was he won the daughter,of the ancient arrow-maker,in the land of the dacotahs
sang the robin the opechee,happy are you laughing water,having such a noble husband
barred with streaks of red and yellow,streaks of blue and bright vermilion,shone the face of pau-puk-keewis
over it the star of evening,melts and trembles through the purple,hangs suspended in the twilight
you shall hear a tale of wonder,hear the story of osseo,son of the evening star osseo
and her lovers the rejected,handsome men with belts of wampum,handsome men with paint and feathers
changed into a weak old woman,with a staff she tottered onward,wasted wrinkled old and ugly
and behold,the earthen kettles,all were changed to bowls of silver
t was no bird he saw before him,t was a beautiful young woman,with the arrow in her bosom
in those days said hiawatha,lo,how all things fade and perish
very crafty very cunning,is the creeping spirit of evil,was the meaning of this symbol
then the figure seated singing,playing on a drum of magic,and the interpretation listen
when i speak the wigwam trembles,shakes the sacred lodge with terror,hands unseen begin to shake it
ay,why do the living said they,lay such heavy burdens on us
i will slay this pau-puk-keewis,slay this mischief-maker,said he
make me large said pau-puk-keewis,make me large and make me larger,larger than the other beavers
here they made him large and larger,made him largest of the beavers,ten times larger than the others
death to kwasind,was the sudden,war-cry of the little people
then he turned and saw the strangers,cowering crouching with the shadows,said within himself who are they
but he questioned not the strangers,only spake to bid them welcome,to his lodge his food his fireside
from the realms of chibiabos,hither have we come to try you,hither have we come to warn you
we are but a burden to you,and we see that the departed,have no place among the living
cried he with his face uplifted,in that bitter hour of anguish,give your children food o father
no my child,said old nokomis,t is the night-wind in the pine-trees
in his lodge beside a river,close beside a frozen river,sat an old man sad and lonely
ah my son,exclaimed the old man,happy are my eyes to see you
at each other looked the warriors,looked the women at each other,smiled and said it cannot be so
from its mouth he said to greet him,came waywassimo the lightning,came the thunder annemeekee
gitche manito the mighty,the great spirit the creator,sends them hither on his errand
i beheld too in that vision,all the secrets of the future,of the distant days that shall be
or the white goose waw-be-wawa,with the water dripping flashing,from its glossy neck and feathers
i am going o nokomis,on a long and distant journey,to the portals of the sunset
and the forests dark and lonely,moved through all their depths of darkness,sighed farewell o hiawatha
and the waves upon the margin,rising rippling on the pebbles,sobbed farewell o hiawatha
thus departed hiawatha,hiawatha the beloved,in the glory of the sunset
the scene of the poem is among the ojibways on the southern shore of,lake superior in the region between the pictured rocks and the,grand sable
thereupon answered john alden but looked not up from his writing,truly the breath of the lord hath slackened the speed of the bullet,he in his mercy preserved you to be our shield and our weapon
still the captain continued unheeding the words of the stripling,see how bright they are burnished as if in an arsenal hanging,that is because i have done it myself and not left it to others
green above her is growing the field of wheat we have sown there,better to hide from the indian scouts the graves of our people,lest they should count them and see how many already have perished
nothing was heard in the room but the hurrying pen of the stripling,busily writing epistles important to go by the mayflower,ready to sail on the morrow or next day at latest god willing
homeward bound with the tidings of all that terrible winter,letters written by alden and full of the name of priscilla,full of the name and the fame of the puritan maiden priscilla
go to the damsel priscilla the loveliest maiden of plymouth,say that a blunt old captain a man not of words but of actions,offers his hand and his heart the hand and heart of a soldier
you who are bred as a scholar can say it in elegant language,such as you read in your books of the pleadings and wooings of lovers,such as you think best adapted to win the heart of a maiden
to and fro in his breast his thoughts were heaving and dashing,as in a foundering ship with every roll of the vessel,washes the bitter sea the merciless surge of the ocean
truly the heart is deceitful and out of its depths of corruption,rise like an exhalation the misty phantoms of passion,angels of light they seem but are only delusions of satan
this is the hand of the lord it is laid upon me in anger,for i have followed too much the heart's desires and devices,worshipping astaroth blindly and impious idols of baal
had he but spoken then,perhaps not in vain had he spoken,now it was all too late the golden moment had vanished
yours is tender and trusting and needs a stronger to lean on,so i have come to you now with an offer and proffer of marriage,made by a good man and true miles standish the captain of plymouth
welcome o wind of the east,he exclaimed in his wild exultation,welcome o wind of the east from the caves of the misty atlantic
fierce in his soul was the struggle and tumult of passions contending,love triumphant and crowned and friendship wounded and bleeding,passionate cries of desire and importunate pleadings of duty
still for a moment he stood and listened and stared at the vessel,then went hurriedly on as one who seeing a phantom,stops then quickens his pace and follows the beckoning shadow
better to be in my grave in the green old churchyard in england,close by my mother's side and among the dust of my kindred,better be dead and forgotten than living in shame and dishonor
soon he entered his door and found the redoubtable captain,sitting alone and absorbed in the martial pages of caesar,fighting some great campaign in hainault or brabant or flanders
not far off is the house although the woods are between us,but you have lingered so long that while you were going and coming,i have fought ten battles and sacked and demolished a city
but in the midst of his anger a man appeared at the doorway,bringing in uttermost haste a message of urgent importance,rumors of danger and war and hostile incursions of indians
straightway the captain paused and without further question or parley,took from the nail on the wall his sword with its scabbard of iron,buckled the belt round his waist and frowning fiercely departed
alden was left alone,he heard the clank of the scabbard,growing fainter and fainter and dying away in the distance
god had sifted three kingdoms to find the wheat for this planting,then had sifted the wheat as the living seed of a nation,so say the chronicles old and such is the faith of the people
but unheeded fell this mild rebuke on the captain,who had advanced to the table and thus continued discoursing,leave this matter to me for to me by right it pertaineth
silently out of the room then glided the glistening savage,bearing the serpent's skin and seeming himself like a serpent,winding his sinuous way in the dark to the depths of the forest
just in the gray of the dawn as the mists uprose from the meadows,there was a stir and a sound in the slumbering village of plymouth,clanging and clicking of arms and the order imperative forward
standish the stalwart it was with eight of his valorous army,led by their indian guide by hobomok friend of the white men,northward marching to quell the sudden revolt of the savage
giants they seemed in the mist or the mighty men of king david,giants in heart they were who believed in god and the bible,ay who believed in the smiting of midianites and philistines
over them gleamed far off the crimson banners of morning,under them loud on the sands the serried billows advancing,fired along the line and in regular order retreated
foremost among them was alden,all night he had lain without slumber,turning and tossing about in the heat and unrest of his fever
he had beheld miles standish who came back late from the council,stalking into the room and heard him mutter and murmur,sometimes it seemed a prayer and sometimes it sounded like swearing
once he had come to the bed and stood there a moment in silence,then he had turned away and said: i will not awake him,let him sleep on it is best for what is the use of more talking
nearer the boat stood alden with one foot placed on the gunwale,one still firm on the rock and talking at times with the sailors,seated erect on the thwarts all ready and eager for starting
he too was eager to go and thus put an end to his anguish,thinking to fly from despair that swifter than keel is or canvas,thinking to drown in the sea the ghost that would rise and pursue him
mournfully sobbed the waves at the base of the rock and above them,bowed and whispered the wheat on the hill of death and their kindred,seemed to awake in their graves and to join in the prayer that they uttered
sun-illumined and white on the eastern verge of the ocean,gleamed the departing sail like a marble slab in a graveyard,buried beneath it lay for ever all hope of escaping
what i thought was a flower is only a weed and is worthless,out of my heart will i pluck it and throw it away and henceforward,be but a fighter of battles a lover and wooer of dangers
thus he revolved in his mind his sorry defeat and discomfort,while he was marching by day or lying at night in the forest,looking up at the trees and the constellations beyond them
braves of the tribe were these and brothers gigantic in stature,huge as goliath of gath or the terrible og king of bashan,one was pecksuot named and the other was called wattawamat
welcome english,they said these words they had learned from the traders,touching at times on the coast to barter and chaffer for peltries
but when he heard their defiance the boast the taunt and the insult,all the hot blood of his race of sir hugh and of thurston de standish,boiled and beat in his heart and swelled in the veins of his temples
